label,in_pkt,in_size,out_pkt,out_size,cumul_1,cumul_2,cumul_3,cumul_4,cumul_5,cumul_6,cumul_7,cumul_8,cumul_9,cumul_10,cumul_11,cumul_12,cumul_13,cumul_14,cumul_15,cumul_16,cumul_17,cumul_18,cumul_19,cumul_20,cumul_21,cumul_22,cumul_23,cumul_24,cumul_25,cumul_26,cumul_27,cumul_28,cumul_29,cumul_30,pkg_count,chunk_count,total_size,chunk_1,chunk_2,chunk_3,chunk_4,chunk_5,chunk_6,chunk_7,chunk_8,chunk_9,chunk_10,chunk_11,chunk_12,chunk_13,chunk_14,chunk_15,chunk_16,chunk_17,chunk_18,chunk_19,chunk_20,chunk_21,chunk_22,chunk_23,chunk_24,chunk_25
ALS_Ice_Bucket_Challenge,172,62806,141,76791,-770.4193548387094,-3633.741935483871,-3687.6129032258063,-3797.870967741936,-3893.3548387096776,-4647.225806451613,-1714.0967741935483,8307.258064516129,6002.1612903225805,4473.322580645161,2900.354838709677,2381.967741935499,-217.322580645161,-282.3548387096745,-3297.064516129032,4337.064516129032,2651.193548387097,965.3225806451616,-721.5483870967744,-2412.4193548387098,-4086.6451612903234,-5711.322580645164,-7336.064516129037,-8964.516129032265,-10591.032258064515,-12230.645161290322,-14194.677419354874,-16195.096774193576,-17877.25806451613,-13866.032258064515,147,8,8466,1822,1633,1088,365,1100,739,412,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALS_Ice_Bucket_Challenge,131,53325,138,77393,-2046.0,-4471.064516129032,-4590.967741935481,-4568.5161290322585,-5132.1935483870975,-5013.096774193545,-5761.903225806452,-6657.032258064516,-8610.161290322581,-9982.645161290322,-4330.161290322581,-6188.387096774193,-4644.612903225807,-6417.451612903225,-7605.3870967741905,-9627.806451612909,-10748.548387096776,-10705.58064516129,-12094.645161290313,-13904.645161290322,-14920.67741935484,-15161.19354838709,-15936.967741935485,-16862.54838709677,-17676.225806451614,-18739.35483870968,-19800.483870967742,-20821.612903225807,-22398.322580645185,-24266.967741935485,99,13,13025,205,1516,1576,1818,1442,574,982,1397,352,353,709,1436,659,0,0,0,0,0,0,0,0,0,0,0,0
ALS_Ice_Bucket_Challenge,47,7700,47,11264,-451.1612903225807,-207.61290322580643,-183.9354838709677,-579.6451612903227,-682.8064516129033,-307.41935483871043,-201.51612903225808,-575.2903225806452,-824.4516129032259,-670.9999999999991,-660.0967741935483,-1008.8709677419346,-1320.0967741935483,-1266.354838709678,-1235.6774193548388,-1548.6129032258066,-1892.741935483871,-1900.9032258064503,-1811.258064516129,-2087.580645161292,-2465.3870967741937,-2537.3870967741905,-2386.838709677419,-2625.774193548385,-3038.032258064516,-3174.0645161290345,-2962.4193548387098,-3163.193548387096,-3610.677419354839,-3811.5161290322585,47,11,6760,669,415,1183,291,548,513,517,259,261,1054,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALS_Ice_Bucket_Challenge,48,7320,54,9961,-29.67741935483871,-132.5483870967742,-382.0000000000001,-618.6774193548387,-585.0967741935484,-480.322580645161,-209.09677419354824,-43.41935483870968,-168.0967741935484,-560.3870967741925,-375.0,-757.0322580645162,-906.451612903226,-963.064516129032,-899.6129032258063,-929.8387096774194,-1054.516129032258,-1256.7096774193546,-1520.0000000000014,-1712.3870967741937,-1861.806451612904,-1862.9032258064497,-1795.7096774193533,-1872.258064516129,-1996.935483870968,-2236.5161290322585,-2503.5483870967746,-2667.741935483871,-2817.1612903225805,-2589.064516129032,48,4,6360,2820,1161,228,2151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adele,20,12437,22,3115,-10.7741935483871,-319.03225806451604,-403.2258064516129,-81.38709677419354,-448.3548387096771,-532.5806451612904,-586.6774193548387,-575.1935483870968,-470.87096774193554,-172.96774193548384,-218.12903225806448,-201.16129032258064,-545.1290322580646,-727.8387096774194,4489.548387096775,4377.096774193548,4355.354838709677,4346.064516129032,4544.516129032258,4584.129032258064,4559.741935483871,4557.870967741936,4021.1935483870966,6738.7419354838685,9248.58064516129,9105.870967741936,9268.83870967742,9353.290322580646,8898.548387096775,9191.193548387097,18,1,1623,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adele,56,20060,49,36370,-3380.935483870968,-2569.483870967742,-4836.806451612903,-4507.967741935484,-7074.225806451618,-8014.612903225807,-8870.516129032261,-13348.483870967742,-13260.41935483871,-12176.41935483871,-14236.0,-17884.225806451614,-17796.16129032258,-15706.354838709678,-15081.93548387097,-18353.322580645166,-21414.774193548383,-22073.83870967742,-21985.774193548383,-19890.93548387097,-19939.58064516129,-16478.74193548387,-13543.064516129032,-13379.419354838705,-12804.387096774191,-15585.16129032258,-19283.25806451613,-19195.1935483871,-17609.064516129027,-17073.25806451613,46,4,5765,1948,835,1477,1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adele,19,12872,31,18010,-1203.6774193548388,-130.4193548387097,-1513.032258064516,-2723.709677419354,-624.5483870967741,-2084.0,-2094.967741935484,-1377.6774193548388,-1416.3870967741937,-2828.774193548388,-4041.451612903226,-3278.516129032258,-1189.225806451613,-2660.0,-2660.6451612903224,-4054.193548387098,-5193.096774193552,-3517.322580645152,-4323.4516129032245,-4107.677419354838,-3905.0,-3916.6129032258063,-4678.419354838709,-5900.451612903227,-5737.451612903219,-4932.677419354846,-5919.0,-5777.387096774192,-5126.580645161291,-5145.290322580645,14,3,3067,728,741,1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adele,32,13003,36,36506,-4029.0,-4029.0,-4608.903225806449,-6460.0,-8653.548387096775,-8566.645161290324,-8489.870967741936,-8481.677419354839,-10807.387096774191,-10777.677419354835,-12587.548387096773,-14532.516129032258,-13546.77419354838,-14025.741935483871,-12978.548387096766,-15154.354838709678,-17489.064516129034,-16108.580645161286,-16967.935483870966,-16272.774193548386,-18797.90322580645,-21134.612903225807,-19358.8064516129,-20603.0,-19876.967741935485,-22424.451612903227,-24763.16129032258,-22887.483870967742,-24223.0,-23494.16129032258,26,2,2513,218,2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agario,15,7711,16,3183,-40.0,-14.0,-34.0,-571.0,-545.0,4678.0,4658.0,4512.0,4538.0,4784.0,4764.0,4306.0,4332.0,4717.0,4697.0,4238.0,4264.0,4651.0,4631.0,4171.0,4197.0,4633.0,4613.0,4152.0,4178.0,4570.0,4550.0,4088.0,4114.0,4548.0,14,3,2204,611,373,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agario,42,26140,144,26959,-97.41935483870968,-180.0,-304.51612903225805,-1874.3225806451608,-3080.5483870967764,7243.516129032258,5854.935483870968,15340.16129032258,15912.774193548386,15638.54838709678,17027.387096774193,17928.032258064515,18854.548387096773,16624.0,16453.0,15856.0,15166.0,13842.451612903224,12071.419354838696,10410.612903225809,9981.354838709687,6967.774193548387,4749.0,2458.580645161287,136.51612903225794,8.096774193548185,-99.0,-206.74193548387075,-469.322580645161,-641.5806451612902,10,1,3792,3792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
